ID	adj.P.Val	P.Value	F	Gene.symbol	Gene.title
8146092	0.2814788	3.30e-04	1.77e+01	IDO1	indoleamine 2,3-dioxygenase 1
8083594	0.3002476	3.61e-04	1.73e+01	PTX3	pentraxin 3
7917561	0.4032112	4.96e-04	1.61e+01	GBP4	guanylate binding protein 4
7902512	0.4734817	5.97e-04	1.54e+01	DNAJB4	DnaJ heat shock protein family (Hsp40) member B4
8030128	0.6130942	8.02e-04	1.43e+01	PPP1R15A	protein phosphatase 1 regulatory subunit 15A
7917576	0.6130942	8.30e-04	1.42e+01	GBP5	guanylate binding protein 5
7896695	0.6130942	8.39e-04	1.41e+01		
8006453	0.6130942	8.55e-04	1.41e+01	CCL8	C-C motif chemokine ligand 8
8122265	0.6130942	8.65e-04	1.40e+01	TNFAIP3	TNF alpha induced protein 3
8154622	0.6594338	9.64e-04	1.37e+01	IFNA8	interferon alpha 8
8092348	0.6594338	9.70e-04	1.36e+01	LAMP3	lysosomal associated membrane protein 3
7895503	0.7210849	1.08e-03	1.33e+01		
7926677	0.7498533	1.15e-03	1.31e+01	OTUD1	OTU deubiquitinase 1
7893185	0.8247621	1.31e-03	1.26e+01		
8163002	0.8247621	1.32e-03	1.26e+01	KLF4	Kruppel like factor 4
7981976	0.8247621	1.34e-03	1.26e+01	SNORD116-14	small nucleolar RNA, C/D box 116-14
8062284	0.8649048	1.43e-03	1.24e+01		
7895831	0.8805776	1.48e-03	1.23e+01		
7893128	0.9244366	1.58e-03	1.20e+01		
8097461	0.9266554	1.65e-03	1.19e+01	NOCT	nocturnin
7893325	0.9266554	1.66e-03	1.19e+01		
7894089	0.9266554	1.67e-03	1.19e+01		
7896283	0.9409099	1.75e-03	1.17e+01		
7919749	0.9409099	1.76e-03	1.17e+01		
7978644	0.9409099	1.80e-03	1.16e+01	NFKBIA	NFKB inhibitor alpha
7895350	0.9409099	1.81e-03	1.16e+01		
7894670	0.946742	1.85e-03	1.16e+01		
7929072	0.9999955	2.10e-03	1.12e+01	IFIT5	interferon induced protein with tetratricopeptide repeats 5
7893900	0.9999955	2.11e-03	1.12e+01		
8006602	0.9999955	2.17e-03	1.11e+01	CCL4	C-C motif chemokine ligand 4
7894760	0.9999955	2.18e-03	1.11e+01		
7892723	0.9999955	2.23e-03	1.10e+01		
7893635	0.9999955	2.26e-03	1.10e+01		
8018864	0.9999955	2.26e-03	1.10e+01	SOCS3	suppressor of cytokine signaling 3
7893462	0.9999955	2.34e-03	1.09e+01		
7926900	0.9999955	2.44e-03	1.07e+01	MAP3K8	mitogen-activated protein kinase kinase kinase 8
7896372	0.9999955	2.57e-03	1.06e+01		
7892743	0.9999955	2.65e-03	1.05e+01		
8154233	0.9999955	2.69e-03	1.05e+01	CD274	CD274 molecule
7894102	0.9999955	2.69e-03	1.05e+01		
7893604	0.9999955	2.75e-03	1.04e+01		
7894276	0.9999955	2.82e-03	1.03e+01		
7999423	0.9999955	2.89e-03	1.03e+01	SOCS1	suppressor of cytokine signaling 1
8071155	0.9999955	2.96e-03	1.02e+01	USP18	ubiquitin specific peptidase 18
8111569	0.9999955	2.99e-03	1.02e+01	RANBP3L	RAN binding protein 3 like
7893688	0.9999955	3.11e-03	1.00e+01		
8092169	0.9999955	3.16e-03	1.00e+01	TNFSF10	tumor necrosis factor superfamily member 10
8171896	0.9999955	3.21e-03	9.96	CXorf21	chromosome X open reading frame 21
7926037	0.9999955	3.24e-03	9.93	PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3
7894311	0.9999955	3.38e-03	9.82		
8040080	0.9999955	3.38e-03	9.82	RSAD2	radical S-adenosyl methionine domain containing 2
7979033	0.9999955	3.41e-03	9.79	SAV1	salvador family WW domain containing protein 1
7895456	0.9999955	3.45e-03	9.76		
8130539	0.9999955	3.48e-03	9.74	TAGAP	T-cell activation RhoGTPase activating protein
7896312	0.9999955	3.53e-03	9.70		
8111666	0.9999955	3.64e-03	9.61		
7967322	0.9999955	3.68e-03	9.59	HCAR3	hydroxycarboxylic acid receptor 3
8095680	0.9999955	3.85e-03	9.46	CXCL8	C-X-C motif chemokine ligand 8
8030731	0.9999955	3.96e-03	9.39	GPR32P1///GPR32	G protein-coupled receptor 32, pseudogene 1///G protein-coupled receptor 32
8045205	0.9999955	3.97e-03	9.38	LOC646743///TISP43	uncharacterized LOC646743///uncharacterized LOC150527
8055236	0.9999955	3.97e-03	9.38	LOC646743///TISP43	uncharacterized LOC646743///uncharacterized LOC150527
8092707	0.9999955	4.04e-03	9.33	P3H2	prolyl 3-hydroxylase 2
7967318	0.9999955	4.10e-03	9.30	HCAR2	hydroxycarboxylic acid receptor 2
8083569	0.9999955	4.12e-03	9.28	TIPARP	TCDD inducible poly(ADP-ribose) polymerase
7894457	0.9999955	4.30e-03	9.17		
8016042	0.9999955	4.35e-03	9.14		
7894477	0.9999955	4.35e-03	9.14		
7892913	0.9999955	4.39e-03	9.12		
7894721	0.9999955	4.45e-03	9.08		
7894387	0.9999955	4.50e-03	9.05		
8094359	0.9999955	4.69e-03	8.94		
7893970	0.9999955	4.71e-03	8.94		
8165692	0.9999955	4.77e-03	8.91		
7896343	0.9999955	4.96e-03	8.80		
8114010	0.9999955	5.00e-03	8.78	IRF1	interferon regulatory factor 1
8163618	0.9999955	5.11e-03	8.73	TNFSF15	tumor necrosis factor superfamily member 15
8051028	0.9999955	5.24e-03	8.66		
7896408	0.9999955	5.31e-03	8.63		
7895633	0.9999955	5.33e-03	8.62		
8083320	0.9999955	5.43e-03	8.58		
8072710	0.9999955	5.60e-03	8.49	APOL6	apolipoprotein L6
8070182	0.9999955	5.66e-03	8.47	RCAN1	regulator of calcineurin 1
7917528	0.9999955	5.78e-03	8.42		
8101699	0.9999955	5.83e-03	8.40	PPM1K	protein phosphatase, Mg2+/Mn2+ dependent 1K
7894741	0.9999955	5.90e-03	8.37		
7894008	0.9999955	6.01e-03	8.32		
8131803	0.9999955	6.04e-03	8.31	IL6	interleukin 6
8144569	0.9999955	6.18e-03	8.25		
8141016	0.9999955	6.23e-03	8.23	TFPI2	tissue factor pathway inhibitor 2
7893169	0.9999955	6.40e-03	8.17		
7964246	0.9999955	6.46e-03	8.14	SNORD59B	small nucleolar RNA, C/D box 59B
7893819	0.9999955	6.55e-03	8.11		
7895740	0.9999955	6.56e-03	8.11		
7917516	0.9999955	6.74e-03	8.04	GBP1P1///GBP3///GBP1	guanylate binding protein 1 pseudogene 1///guanylate binding protein 3///guanylate binding protein 1
8122457	0.9999955	7.16e-03	7.89	STX11	syntaxin 11
7894977	0.9999955	7.16e-03	7.89		
8124518	0.9999955	7.39e-03	7.82	HIST1H2AJ	histone cluster 1, H2aj
7896028	0.9999955	7.44e-03	7.80		
7893340	0.9999955	7.45e-03	7.80		
8149281	0.9999955	7.58e-03	7.76		
8105434	0.9999955	7.59e-03	7.75		
8024485	0.9999955	7.66e-03	7.73	GADD45B	growth arrest and DNA damage inducible beta
7896597	0.9999955	7.67e-03	7.73		
7894781	0.9999955	7.83e-03	7.68		
7895251	0.9999955	7.83e-03	7.68		
7914202	0.9999955	7.86e-03	7.67	SNHG12///SNORA16A///SNORA61///SNORA44///SNHG12	small nucleolar RNA host gene 12///small nucleolar RNA, H/ACA box 16A///small nucleolar RNA, H/ACA box 61///small nucleolar RNA, H/ACA box 44///small nucleolar RNA host gene 12
7896570	0.9999955	8.11e-03	7.60		
7894345	0.9999955	8.18e-03	7.58		
7914212	0.9999955	8.24e-03	7.56	SNORA61///SNHG12	small nucleolar RNA, H/ACA box 61///small nucleolar RNA host gene 12
7895246	0.9999955	8.42e-03	7.51		
7896452	0.9999955	8.61e-03	7.46		
7894291	0.9999955	8.62e-03	7.46		
7894812	0.9999955	8.64e-03	7.45		
7892646	0.9999955	8.74e-03	7.42		
7892586	0.9999955	8.77e-03	7.42		
8095043	0.9999955	8.90e-03	7.38	RASL11B///RASL11B	RAS like family 11 member B///RAS like family 11 member B
8037387	0.9999955	8.93e-03	7.37		
7896711	0.9999955	8.93e-03	7.37		
7896445	0.9999955	9.01e-03	7.35		
7894857	0.9999955	9.06e-03	7.34		
8079163	0.9999955	9.25e-03	7.29		
7981726	0.9999955	9.33e-03	7.27		
7893628	0.9999955	9.50e-03	7.23		
7896750	0.9999955	9.54e-03	7.22		
8041642	0.9999955	9.54e-03	7.22		
7896694	0.9999955	9.57e-03	7.21		
7944152	0.9999955	9.57e-03	7.21	IL10RA	interleukin 10 receptor subunit alpha
7894641	0.9999955	9.57e-03	7.21		
8015511	0.9999955	9.62e-03	7.20	DHX58	DEXH-box helicase 58
7895880	0.9999955	9.80e-03	7.16		
7894280	0.9999955	9.82e-03	7.16		
7895186	0.9999955	9.83e-03	7.15		
7893452	0.9999955	9.91e-03	7.14		
7943715	0.9999955	1.00e-02	7.11	ZC3H12C	zinc finger CCCH-type containing 12C
7894811	0.9999955	1.02e-02	7.07		
7910948	0.9999955	1.03e-02	7.04		
7895985	0.9999955	1.05e-02	7.01		
7934916	0.9999955	1.05e-02	7.00	CH25H	cholesterol 25-hydroxylase
7894296	0.9999955	1.08e-02	6.94		
8160559	0.9999955	1.09e-02	6.93	DDX58	DEXD/H-box helicase 58
7904166	0.9999955	1.10e-02	6.91		
7895200	0.9999955	1.11e-02	6.88		
7894208	0.9999955	1.11e-02	6.88		
7894408	0.9999955	1.11e-02	6.88		
7895006	0.9999955	1.12e-02	6.86		
7895010	0.9999955	1.13e-02	6.84		
7896081	0.9999955	1.15e-02	6.80		
7900146	0.9999955	1.16e-02	6.79	ZC3H12A	zinc finger CCCH-type containing 12A
8040103	0.9999955	1.16e-02	6.79	ID2	inhibitor of DNA binding 2, HLH protein
8028607	0.9999955	1.18e-02	6.74	IFNL2	interferon lambda 2
7895829	0.9999955	1.19e-02	6.74		
7893533	0.9999955	1.19e-02	6.72		
8115679	0.9999955	1.20e-02	6.71		
7895146	0.9999955	1.20e-02	6.71		
7892802	0.9999955	1.20e-02	6.71		
8094499	0.9999955	1.20e-02	6.71		
8045688	0.9999955	1.21e-02	6.69	TNFAIP6	TNF alpha induced protein 6
7892732	0.9999955	1.21e-02	6.68		
8098500	0.9999955	1.22e-02	6.67	CDKN2AIP	CDKN2A interacting protein
7896001	0.9999955	1.23e-02	6.65		
7893108	0.9999955	1.26e-02	6.60		
8129953	0.9999955	1.26e-02	6.60	HIVEP2	human immunodeficiency virus type I enhancer binding protein 2
7903878	0.9999955	1.29e-02	6.55	RBM15	RNA binding motif protein 15
7896223	0.9999955	1.30e-02	6.54		
7896289	0.9999955	1.31e-02	6.52		
7894373	0.9999955	1.33e-02	6.49		
7898355	0.9999955	1.34e-02	6.47		
7893119	0.9999955	1.36e-02	6.43		
7894040	0.9999955	1.36e-02	6.43		
8165663	0.9999955	1.37e-02	6.43		
8140967	0.9999955	1.37e-02	6.42	SAMD9	sterile alpha motif domain containing 9
8085193	0.9999955	1.39e-02	6.39	THUMPD3-AS1	THUMPD3 antisense RNA 1
7894370	0.9999955	1.41e-02	6.36		
7991540	0.9999955	1.43e-02	6.34		
8139788	0.9999955	1.44e-02	6.31		
7894568	0.9999955	1.47e-02	6.28		
8068022	0.9999955	1.49e-02	6.24	MIR155///MIR155HG	microRNA 155///MIR155 host gene
7906303	0.9999955	1.49e-02	6.24		
7896146	0.9999955	1.50e-02	6.23		
8014485	0.9999955	1.50e-02	6.23		
8155248	0.9999955	1.50e-02	6.23		
7892527	0.9999955	1.52e-02	6.21		
7894957	0.9999955	1.52e-02	6.20		
7939954	0.9999955	1.53e-02	6.19	TRIM51	tripartite motif-containing 51
8073680	0.9999955	1.53e-02	6.19		
7894655	0.9999955	1.54e-02	6.17		
7982294	0.9999955	1.55e-02	6.17	LOC100288637///OTUD7A	OTU deubiquitinase 7A pseudogene///OTU deubiquitinase 7A
7894332	0.9999955	1.56e-02	6.15		
7896714	0.9999955	1.56e-02	6.14		
7895955	0.9999955	1.57e-02	6.13		
8147742	0.9999955	1.57e-02	6.13		
8027862	0.9999955	1.59e-02	6.11	FFAR2	free fatty acid receptor 2
7895615	0.9999955	1.60e-02	6.10		
8055952	0.9999955	1.60e-02	6.10	NR4A2	nuclear receptor subfamily 4 group A member 2
7893555	0.9999955	1.60e-02	6.10		
8137250	0.9999955	1.63e-02	6.06	GIMAP2	GTPase, IMAP family member 2
7950885	0.9999955	1.63e-02	6.06	FZD4	frizzled class receptor 4
7893497	0.9999955	1.63e-02	6.05		
7895319	0.9999955	1.63e-02	6.05		
8066905	0.9999955	1.64e-02	6.05	ZNFX1	zinc finger NFX1-type containing 1
8102594	0.9999955	1.65e-02	6.04	TNIP3	TNFAIP3 interacting protein 3
8102160	0.9999955	1.66e-02	6.02		
7892805	0.9999955	1.66e-02	6.02		
8131441	0.9999955	1.66e-02	6.02	LOC100419773	zinc finger protein 33B pseudogene
8154211	0.9999955	1.68e-02	6.00		
7896446	0.9999955	1.72e-02	5.95		
7908917	0.9999955	1.73e-02	5.94	BTG2	BTG anti-proliferation factor 2
7895991	0.9999955	1.73e-02	5.94		
8154227	0.9999955	1.73e-02	5.94		
8081853	0.9999955	1.73e-02	5.93	POGLUT1	protein O-glucosyltransferase 1
7893585	0.9999955	1.73e-02	5.93		
7967636	0.9999955	1.74e-02	5.92		
8086141	0.9999955	1.74e-02	5.92	EPM2AIP1	EPM2A interacting protein 1
7893798	0.9999955	1.74e-02	5.92		
7894628	0.9999955	1.75e-02	5.92		
8054517	0.9999955	1.75e-02	5.91	LINC01123///LINC01106	long intergenic non-protein coding RNA 1123///long intergenic non-protein coding RNA 1106
8084732	0.9999955	1.76e-02	5.90	RTP4	receptor transporter protein 4
7895664	0.9999955	1.76e-02	5.90		
7893706	0.9999955	1.76e-02	5.90		
8129069	0.9999955	1.77e-02	5.89		
7892567	0.9999955	1.77e-02	5.89		
8142098	0.9999955	1.77e-02	5.89	ATXN7L1	ataxin 7 like 1
7895213	0.9999955	1.78e-02	5.88		
8039520	0.9999955	1.79e-02	5.86	SBK2	SH3 domain binding kinase family member 2
7895043	0.9999955	1.83e-02	5.82		
7893554	0.9999955	1.85e-02	5.80		
8054722	0.9999955	1.87e-02	5.77	IL1B	interleukin 1 beta
7905037	0.9999955	1.88e-02	5.76		
8037001	0.9999955	1.89e-02	5.75		
7914603	0.9999955	1.90e-02	5.74	RNF19B	ring finger protein 19B
7895300	0.9999955	1.91e-02	5.73		
7972217	0.9999955	1.92e-02	5.73	SPRY2	sprouty RTK signaling antagonist 2
8159965	0.9999955	1.93e-02	5.72		
7922474	0.9999955	1.93e-02	5.72	KIAA0040	KIAA0040
7896429	0.9999955	1.94e-02	5.70		
8053944	0.9999955	1.94e-02	5.70	NEURL3	neuralized E3 ubiquitin protein ligase 3
8068713	0.9999955	1.95e-02	5.69	MX1	MX dynamin like GTPase 1
7969482	0.9999955	1.95e-02	5.69	ACOD1	aconitate decarboxylase 1
7964832	0.9999955	1.96e-02	5.68		
7896390	0.9999955	1.96e-02	5.68		
8129677	0.9999955	1.97e-02	5.67	SGK1	serum/glucocorticoid regulated kinase 1
7893235	0.9999955	1.97e-02	5.67		
8128939	0.9999955	1.97e-02	5.67	TRAF3IP2	TRAF3 interacting protein 2
7892854	0.9999955	1.97e-02	5.67		
8098439	0.9999955	1.97e-02	5.67	EPCAM	epithelial cell adhesion molecule
8072735	0.9999955	2.00e-02	5.64	APOL1	apolipoprotein L1
7895312	0.9999955	2.02e-02	5.63		
7895948	0.9999955	2.02e-02	5.63		
7893617	0.9999955	2.02e-02	5.62		
7894202	0.9999955	2.03e-02	5.61		
8043036	0.9999955	2.08e-02	5.56	LOC1720///DHFR	dihydrofolate reductase pseudogene///dihydrofolate reductase
7892705	0.9999955	2.09e-02	5.56		
7894598	0.9999955	2.10e-02	5.55		
8147573	0.9999955	2.10e-02	5.54	OSR2	odd-skipped related transciption factor 2
7896580	0.9999955	2.11e-02	5.54		
7894398	0.9999955	2.12e-02	5.52		
7893510	0.9999955	2.13e-02	5.52		
8180251	0.9999955	2.13e-02	5.51		
7895154	0.9999955	2.13e-02	5.51		
7893532	0.9999955	2.15e-02	5.50		
8006531	0.9999955	2.16e-02	5.49	SLFN5	schlafen family member 5
7893699	0.9999955	2.16e-02	5.49		
8033248	0.9999955	2.16e-02	5.49	TNFSF14	tumor necrosis factor superfamily member 14
7895479	0.9999955	2.17e-02	5.48		
7895257	0.9999955	2.20e-02	5.46		
7964787	0.9999955	2.20e-02	5.45	IFNG	interferon gamma
7902400	0.9999955	2.21e-02	5.44	SNORD45B	small nucleolar RNA, C/D box 45B
8116622	0.9999955	2.22e-02	5.43	RIPK1	receptor interacting serine/threonine kinase 1
8168470	0.9999955	2.23e-02	5.43	COX7B	cytochrome c oxidase subunit 7B
7894075	0.9999955	2.26e-02	5.40		
7987572	0.9999955	2.28e-02	5.38		
8044572	0.9999955	2.33e-02	5.34		
7894930	0.9999955	2.34e-02	5.33		
7896708	0.9999955	2.34e-02	5.33		
8021363	0.9999955	2.34e-02	5.33		
7893001	0.9999955	2.35e-02	5.33		
8150101	0.9999955	2.36e-02	5.32		
7894533	0.9999955	2.37e-02	5.31		
7894979	0.9999955	2.38e-02	5.30		
7896510	0.9999955	2.39e-02	5.29		
7894981	0.9999955	2.41e-02	5.28		
8017843	0.9999955	2.41e-02	5.28	SLC16A6	solute carrier family 16 member 6
7893830	0.9999955	2.41e-02	5.27		
7892555	0.9999955	2.43e-02	5.26		
8098240	0.9999955	2.43e-02	5.26		
8004184	0.9999955	2.45e-02	5.24	XAF1	XIAP associated factor 1
7892736	0.9999955	2.46e-02	5.24		
7892702	0.9999955	2.46e-02	5.24		
7893221	0.9999955	2.46e-02	5.23		
7894622	0.9999955	2.48e-02	5.22		
7937707	0.9999955	2.48e-02	5.22	FAM99A	family with sequence similarity 99 member A (non-protein coding)
7893241	0.9999955	2.49e-02	5.21		
8072153	0.9999955	2.50e-02	5.20	CCDC117	coiled-coil domain containing 117
7893673	0.9999955	2.52e-02	5.19		
7998722	0.9999955	2.53e-02	5.18	SNORD60	small nucleolar RNA, C/D box 60
7894722	0.9999955	2.53e-02	5.18		
7896052	0.9999955	2.54e-02	5.18		
7894719	0.9999955	2.56e-02	5.16		
8097773	0.9999955	2.59e-02	5.14	MAB21L2	mab-21 like 2
7895022	0.9999955	2.61e-02	5.13		
8166906	0.9999955	2.62e-02	5.11	GPR34	G protein-coupled receptor 34
7895029	0.9999955	2.63e-02	5.11		
7893552	0.9999955	2.64e-02	5.10		
8016739	0.9999955	2.65e-02	5.09	TOB1	transducer of ERBB2, 1
8066407	0.9999955	2.66e-02	5.09	FITM2	fat storage inducing transmembrane protein 2
7896105	0.9999955	2.66e-02	5.08		
8074606	0.9999955	2.66e-02	5.08	USP41///USP18	ubiquitin specific peptidase 41///ubiquitin specific peptidase 18
7921031	0.9999955	2.67e-02	5.08		
8170863	0.9999955	2.67e-02	5.08	SNORA70///RPL10	small nucleolar RNA, H/ACA box 70///ribosomal protein L10
8180397	0.9999955	2.68e-02	5.07		
7977445	0.9999955	2.70e-02	5.06	FAM30A	family with sequence similarity 30, member A
7894940	0.9999955	2.70e-02	5.06		
7896572	0.9999955	2.70e-02	5.05		
7892696	0.9999955	2.72e-02	5.04		
8091188	0.9999955	2.73e-02	5.03		
7895601	0.9999955	2.76e-02	5.01		
8102362	0.9999955	2.78e-02	5.00	TIFA	TRAF interacting protein with forkhead associated domain
7892929	0.9999955	2.79e-02	5.00		
7894630	0.9999955	2.79e-02	4.99		
8047403	0.9999955	2.79e-02	4.99	CASP10	caspase 10
7896008	0.9999955	2.80e-02	4.99		
8025498	0.9999955	2.80e-02	4.99	SNORA70///RPL10	small nucleolar RNA, H/ACA box 70///ribosomal protein L10
8026488	0.9999955	2.80e-02	4.99	OR10H5	olfactory receptor family 10 subfamily H member 5
7894117	0.9999955	2.82e-02	4.98		
8120247	0.9999955	2.82e-02	4.97	LOC100287869	uncharacterized LOC100287869
7896418	0.9999955	2.83e-02	4.97		
7992841	0.9999955	2.83e-02	4.97		
8089714	0.9999955	2.85e-02	4.96	LSAMP	limbic system-associated membrane protein
8027437	0.9999955	2.86e-02	4.95		
7893256	0.9999955	2.86e-02	4.95		
8061247	0.9999955	2.87e-02	4.95	RIN2	Ras and Rab interactor 2
7895681	0.9999955	2.88e-02	4.94		
7896518	0.9999955	2.88e-02	4.93		
8141560	0.9999955	2.89e-02	4.93	TFR2	transferrin receptor 2
7894543	0.9999955	2.91e-02	4.92		
7896449	0.9999955	2.92e-02	4.91		
7894836	0.9999955	2.94e-02	4.90		
7895204	0.9999955	2.94e-02	4.90		
7895513	0.9999955	2.95e-02	4.89		
8058342	0.9999955	2.97e-02	4.88		
8056257	0.9999955	2.97e-02	4.88	FAP	fibroblast activation protein alpha
7917591	0.9999955	2.98e-02	4.87		
7894775	0.9999955	2.98e-02	4.87		
8107673	0.9999955	2.99e-02	4.87	GRAMD3	GRAM domain containing 3
8031956	0.9999955	3.00e-02	4.86	ZNF324	zinc finger protein 324
7893862	0.9999955	3.01e-02	4.85		
7963923	0.9999955	3.01e-02	4.85	SARNP	SAP domain containing ribonucleoprotein
7895593	0.9999955	3.01e-02	4.85		
8106271	0.9999955	3.02e-02	4.85	NSA2	NSA2, ribosome biogenesis homolog
7894310	0.9999955	3.04e-02	4.84		
8059852	0.9999955	3.06e-02	4.82	MSL3P1	male-specific lethal 3 homolog (Drosophila) pseudogene 1
7894757	0.9999955	3.06e-02	4.82		
7895603	0.9999955	3.07e-02	4.81		
7895812	0.9999955	3.09e-02	4.80		
7893214	0.9999955	3.10e-02	4.80		
7893669	0.9999955	3.11e-02	4.80		
7902553	0.9999955	3.11e-02	4.79	IFI44	interferon induced protein 44
7892903	0.9999955	3.12e-02	4.79		
7892982	0.9999955	3.12e-02	4.79		
7894386	0.9999955	3.12e-02	4.79		
8143279	0.9999955	3.13e-02	4.78	ZC3HAV1	zinc finger CCCH-type containing, antiviral 1
8120360	0.9999955	3.13e-02	4.78		
7893482	0.9999955	3.15e-02	4.77		
8130009	0.9999955	3.15e-02	4.77		
7958913	0.9999955	3.16e-02	4.77	OAS2	2'-5'-oligoadenylate synthetase 2
7893949	0.9999955	3.19e-02	4.74		
7893305	0.9999955	3.20e-02	4.74		
7916219	0.9999955	3.21e-02	4.74	COA7	cytochrome c oxidase assembly factor 7 (putative)
7894637	0.9999955	3.21e-02	4.73		
7895019	0.9999955	3.23e-02	4.72		
7917548	0.9999955	3.23e-02	4.72	GBP7	guanylate binding protein 7
7928216	0.9999955	3.25e-02	4.71		
8103462	0.9999955	3.28e-02	4.70		
8000567	0.9999955	3.30e-02	4.68	IL27	interleukin 27
7894976	0.9999955	3.30e-02	4.68		
8047372	0.9999955	3.32e-02	4.67	NDUFB3	NADH:ubiquinone oxidoreductase subunit B3
7959777	0.9999955	3.33e-02	4.67	BRI3BP	BRI3 binding protein
7895012	0.9999955	3.33e-02	4.67		
8132803	0.9999955	3.34e-02	4.66	CDC14C	cell division cycle 14C, pseuodgene
8174983	0.9999955	3.34e-02	4.66		
8166500	0.9999955	3.34e-02	4.66	ZFX	zinc finger protein, X-linked
7893233	0.9999955	3.34e-02	4.66		
7893760	0.9999955	3.37e-02	4.65		
8035808	0.9999955	3.38e-02	4.64	ZNF100	zinc finger protein 100
8083704	0.9999955	3.39e-02	4.64		
8135532	0.9999955	3.39e-02	4.63	LSMEM1	leucine rich single-pass membrane protein 1
7967212	0.9999955	3.40e-02	4.63	HPD	4-hydroxyphenylpyruvate dioxygenase
