ID	adj.P.Val	P.Value	F	Gene.symbol	Gene.title
8006602	0.9999946	3.39e-03	1.05e+01	CCL4	C-C motif chemokine ligand 4
7896312	0.9999946	3.47e-03	1.04e+01		
7926037	0.9999946	3.54e-03	1.03e+01	PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3
8154233	0.9999946	3.58e-03	1.03e+01	CD274	CD274 molecule
7894457	0.9999946	3.66e-03	1.02e+01		
7894977	0.9999946	3.70e-03	1.02e+01		
8071155	0.9999946	3.81e-03	1.01e+01	USP18	ubiquitin specific peptidase 18
8051028	0.9999946	3.83e-03	1.01e+01		
7967322	0.9999946	3.84e-03	1.01e+01	HCAR3	hydroxycarboxylic acid receptor 3
8130539	0.9999946	3.85e-03	1.01e+01	TAGAP	T-cell activation RhoGTPase activating protein
8083569	0.9999946	4.16e-03	9.85	TIPARP	TCDD inducible poly(ADP-ribose) polymerase
7896343	0.9999946	4.28e-03	9.76		
7919749	0.9999946	4.41e-03	9.68		
7967318	0.9999946	4.59e-03	9.56	HCAR2	hydroxycarboxylic acid receptor 2
8171896	0.9999946	4.65e-03	9.52	CXorf21	chromosome X open reading frame 21
8070182	0.9999946	4.73e-03	9.47	RCAN1	regulator of calcineurin 1
8122457	0.9999946	4.78e-03	9.44	STX11	syntaxin 11
7893635	0.9999946	4.85e-03	9.40		
8111666	0.9999946	4.89e-03	9.38		
7892913	0.9999946	4.93e-03	9.36		
7943715	0.9999946	5.02e-03	9.30	ZC3H12C	zinc finger CCCH-type containing 12C
7894311	0.9999946	5.10e-03	9.26		
8165692	0.9999946	5.10e-03	9.26		
7900146	0.9999946	5.23e-03	9.19	ZC3H12A	zinc finger CCCH-type containing 12A
8040080	0.9999946	5.28e-03	9.16	RSAD2	radical S-adenosyl methionine domain containing 2
7950885	0.9999946	5.46e-03	9.07	FZD4	frizzled class receptor 4
8092707	0.9999946	5.57e-03	9.01	P3H2	prolyl 3-hydroxylase 2
7893970	0.9999946	5.68e-03	8.96		
7895880	0.9999946	5.70e-03	8.95		
8092169	0.9999946	5.75e-03	8.93	TNFSF10	tumor necrosis factor superfamily member 10
7903878	0.9999946	5.80e-03	8.90	RBM15	RNA binding motif protein 15
7893688	0.9999946	6.06e-03	8.78		
8024485	0.9999946	6.20e-03	8.72	GADD45B	growth arrest and DNA damage inducible beta
7893533	0.9999946	6.42e-03	8.63		
8016042	0.9999946	6.43e-03	8.62		
8141016	0.9999946	6.48e-03	8.60	TFPI2	tissue factor pathway inhibitor 2
8163618	0.9999946	6.64e-03	8.54	TNFSF15	tumor necrosis factor superfamily member 15
7895740	0.9999946	6.72e-03	8.51		
7893604	0.9999946	6.79e-03	8.47		
8045205	0.9999946	6.83e-03	8.46	LOC646743///TISP43	uncharacterized LOC646743///uncharacterized LOC150527
8055236	0.9999946	6.83e-03	8.46	LOC646743///TISP43	uncharacterized LOC646743///uncharacterized LOC150527
8072710	0.9999946	6.89e-03	8.44	APOL6	apolipoprotein L6
7896372	0.9999946	6.95e-03	8.41		
7894291	0.9999946	7.00e-03	8.39		
8114010	0.9999946	7.02e-03	8.39	IRF1	interferon regulatory factor 1
7896570	0.9999946	7.28e-03	8.29		
8083320	0.9999946	7.30e-03	8.28		
7896445	0.9999946	7.35e-03	8.27		
8040103	0.9999946	7.36e-03	8.26	ID2	inhibitor of DNA binding 2, HLH protein
7894811	0.9999946	7.43e-03	8.24		
7964246	0.9999946	7.50e-03	8.21	SNORD59B	small nucleolar RNA, C/D box 59B
7914202	0.9999946	7.89e-03	8.08	SNHG12///SNORA16A///SNORA61///SNORA44///SNHG12	small nucleolar RNA host gene 12///small nucleolar RNA, H/ACA box 16A///small nucleolar RNA, H/ACA box 61///small nucleolar RNA, H/ACA box 44///small nucleolar RNA host gene 12
7896001	0.9999946	7.94e-03	8.07		
8094499	0.9999946	8.11e-03	8.01		
7895186	0.9999946	8.12e-03	8.01		
7917516	0.9999946	8.24e-03	7.97	GBP1P1///GBP3///GBP1	guanylate binding protein 1 pseudogene 1///guanylate binding protein 3///guanylate binding protein 1
7934916	0.9999946	8.55e-03	7.88	CH25H	cholesterol 25-hydroxylase
7896028	0.9999946	8.57e-03	7.87		
8086141	0.9999946	8.59e-03	7.86	EPM2AIP1	EPM2A interacting protein 1
7893169	0.9999946	8.82e-03	7.80		
7895246	0.9999946	8.95e-03	7.76		
7894408	0.9999946	9.10e-03	7.72		
7893340	0.9999946	9.44e-03	7.63		
7894008	0.9999946	9.51e-03	7.61		
8111569	0.9999946	9.55e-03	7.60	RANBP3L	RAN binding protein 3 like
8030731	0.9999946	9.68e-03	7.56	GPR32P1///GPR32	G protein-coupled receptor 32, pseudogene 1///G protein-coupled receptor 32
8053944	0.9999946	9.70e-03	7.56	NEURL3	neuralized E3 ubiquitin protein ligase 3
8105434	0.9999946	9.87e-03	7.52		
8180251	0.9999946	9.91e-03	7.50		
8095043	0.9999946	1.00e-02	7.48	RASL11B///RASL11B	RAS like family 11 member B///RAS like family 11 member B
7894655	0.9999946	1.01e-02	7.47		
8041642	0.9999946	1.02e-02	7.44		
7967636	0.9999946	1.02e-02	7.43		
7895985	0.9999946	1.02e-02	7.43		
8037387	0.9999946	1.03e-02	7.40		
7893462	0.9999946	1.04e-02	7.39		
7914212	0.9999946	1.04e-02	7.38	SNORA61///SNHG12	small nucleolar RNA, H/ACA box 61///small nucleolar RNA host gene 12
8014485	0.9999946	1.06e-02	7.35		
7893235	0.9999946	1.06e-02	7.33		
7892743	0.9999946	1.06e-02	7.33		
7892802	0.9999946	1.07e-02	7.33		
8098500	0.9999946	1.07e-02	7.32	CDKN2AIP	CDKN2A interacting protein
8015511	0.9999946	1.08e-02	7.29	DHX58	DEXH-box helicase 58
7896446	0.9999946	1.10e-02	7.25		
7917528	0.9999946	1.11e-02	7.24		
8098240	0.9999946	1.11e-02	7.23		
7894598	0.9999946	1.12e-02	7.21		
7894387	0.9999946	1.13e-02	7.19		
7894721	0.9999946	1.13e-02	7.18		
7896711	0.9999946	1.13e-02	7.18		
8028607	0.9999946	1.14e-02	7.17	IFNL2	interferon lambda 2
7991540	0.9999946	1.14e-02	7.17		
7894345	0.9999946	1.15e-02	7.15		
8039520	0.9999946	1.15e-02	7.14	SBK2	SH3 domain binding kinase family member 2
7893497	0.9999946	1.15e-02	7.14		
7893628	0.9999946	1.17e-02	7.10		
7894641	0.9999946	1.17e-02	7.10		
7894208	0.9999946	1.18e-02	7.09		
7894373	0.9999946	1.18e-02	7.07		
7895829	0.9999946	1.18e-02	7.07		
7906303	0.9999946	1.19e-02	7.07		
7895200	0.9999946	1.20e-02	7.03		
7892723	0.9999946	1.21e-02	7.03		
8131803	0.9999946	1.21e-02	7.02	IL6	interleukin 6
7893452	0.9999946	1.21e-02	7.01		
7896694	0.9999946	1.22e-02	7.01		
7944152	0.9999946	1.22e-02	7.01	IL10RA	interleukin 10 receptor subunit alpha
8128939	0.9999946	1.24e-02	6.96	TRAF3IP2	TRAF3 interacting protein 2
7895456	0.9999946	1.27e-02	6.91		
7894812	0.9999946	1.28e-02	6.89		
8017843	0.9999946	1.28e-02	6.89	SLC16A6	solute carrier family 16 member 6
7982294	0.9999946	1.31e-02	6.83	LOC100288637///OTUD7A	OTU deubiquitinase 7A pseudogene///OTU deubiquitinase 7A
8066905	0.9999946	1.33e-02	6.80	ZNFX1	zinc finger NFX1-type containing 1
8115679	0.9999946	1.35e-02	6.76		
8055952	0.9999946	1.36e-02	6.75	NR4A2	nuclear receptor subfamily 4 group A member 2
7894202	0.9999946	1.36e-02	6.74		
7898355	0.9999946	1.37e-02	6.73		
7896750	0.9999946	1.38e-02	6.71		
7893554	0.9999946	1.39e-02	6.70		
8026488	0.9999946	1.41e-02	6.67	OR10H5	olfactory receptor family 10 subfamily H member 5
7981726	0.9999946	1.42e-02	6.64		
7892527	0.9999946	1.45e-02	6.60		
8129953	0.9999946	1.46e-02	6.58	HIVEP2	human immunodeficiency virus type I enhancer binding protein 2
7937707	0.9999946	1.47e-02	6.57	FAM99A	family with sequence similarity 99 member A (non-protein coding)
7894280	0.9999946	1.47e-02	6.57		
8066407	0.9999946	1.47e-02	6.56	FITM2	fat storage inducing transmembrane protein 2
8160559	0.9999946	1.48e-02	6.55	DDX58	DEXD/H-box helicase 58
7895251	0.9999946	1.49e-02	6.54		
8142098	0.9999946	1.49e-02	6.53	ATXN7L1	ataxin 7 like 1
7894370	0.9999946	1.50e-02	6.51		
7895006	0.9999946	1.52e-02	6.49		
7895146	0.9999946	1.53e-02	6.48		
7893555	0.9999946	1.53e-02	6.47		
8097773	0.9999946	1.54e-02	6.47	MAB21L2	mab-21 like 2
7893706	0.9999946	1.54e-02	6.47		
8131441	0.9999946	1.55e-02	6.45	LOC100419773	zinc finger protein 33B pseudogene
7893585	0.9999946	1.55e-02	6.45		
8085193	0.9999946	1.55e-02	6.44	THUMPD3-AS1	THUMPD3 antisense RNA 1
8166906	0.9999946	1.58e-02	6.40	GPR34	G protein-coupled receptor 34
8147573	0.9999946	1.60e-02	6.38	OSR2	odd-skipped related transciption factor 2
8141560	0.9999946	1.60e-02	6.37	TFR2	transferrin receptor 2
7893830	0.9999946	1.63e-02	6.33		
7895319	0.9999946	1.63e-02	6.33		
7908917	0.9999946	1.63e-02	6.33	BTG2	BTG anti-proliferation factor 2
8045688	0.9999946	1.64e-02	6.33	TNFAIP6	TNF alpha induced protein 6
7896146	0.9999946	1.67e-02	6.28		
7893798	0.9999946	1.69e-02	6.26		
7894719	0.9999946	1.69e-02	6.25		
7895010	0.9999946	1.70e-02	6.23		
8140967	0.9999946	1.71e-02	6.23	SAMD9	sterile alpha motif domain containing 9
8129677	0.9999946	1.71e-02	6.23	SGK1	serum/glucocorticoid regulated kinase 1
8081853	0.9999946	1.72e-02	6.22	POGLUT1	protein O-glucosyltransferase 1
7972217	0.9999946	1.72e-02	6.21	SPRY2	sprouty RTK signaling antagonist 2
7894568	0.9999946	1.74e-02	6.19		
7896572	0.9999946	1.75e-02	6.18		
8079163	0.9999946	1.75e-02	6.17		
7987572	0.9999946	1.75e-02	6.17		
7894477	0.9999946	1.75e-02	6.17		
7896597	0.9999946	1.77e-02	6.16		
8101699	0.9999946	1.77e-02	6.14	PPM1K	protein phosphatase, Mg2+/Mn2+ dependent 1K
7894781	0.9999946	1.78e-02	6.14		
7905037	0.9999946	1.80e-02	6.12		
7964832	0.9999946	1.80e-02	6.11		
7895633	0.9999946	1.80e-02	6.11		
7896390	0.9999946	1.82e-02	6.09		
8027862	0.9999946	1.82e-02	6.09	FFAR2	free fatty acid receptor 2
8137250	0.9999946	1.83e-02	6.07	GIMAP2	GTPase, IMAP family member 2
8033248	0.9999946	1.83e-02	6.07	TNFSF14	tumor necrosis factor superfamily member 14
8144569	0.9999946	1.84e-02	6.06		
7895664	0.9999946	1.85e-02	6.06		
7977445	0.9999946	1.85e-02	6.05	FAM30A	family with sequence similarity 30, member A
8054517	0.9999946	1.85e-02	6.05	LINC01123///LINC01106	long intergenic non-protein coding RNA 1123///long intergenic non-protein coding RNA 1106
7998722	0.9999946	1.85e-02	6.05	SNORD60	small nucleolar RNA, C/D box 60
7916219	0.9999946	1.88e-02	6.02	COA7	cytochrome c oxidase assembly factor 7 (putative)
7894957	0.9999946	1.89e-02	6.01		
8089714	0.9999946	1.89e-02	6.01	LSAMP	limbic system-associated membrane protein
7963923	0.9999946	1.89e-02	6.01	SARNP	SAP domain containing ribonucleoprotein
8068022	0.9999946	1.89e-02	6.01	MIR155///MIR155HG	microRNA 155///MIR155 host gene
7892586	0.9999946	1.91e-02	5.98		
8130009	0.9999946	1.92e-02	5.97		
7899727	0.9999946	1.93e-02	5.96	IQCC	IQ motif containing C
7896452	0.9999946	1.94e-02	5.95		
8117176	0.9999946	1.96e-02	5.93	LOC100505502///LOC646700///LOC392364	putative UPF0607 protein FLJ37424///UPF0607 protein ENSP00000381418-like pseudogene///nuclear pore associated protein 1 pseudogene
8031956	0.9999946	1.96e-02	5.92	ZNF324	zinc finger protein 324
8148501	0.9999946	1.97e-02	5.92	PTP4A3	protein tyrosine phosphatase type IVA, member 3
8154227	0.9999946	1.99e-02	5.89		
7893119	0.9999946	2.00e-02	5.88		
7892732	0.9999946	2.02e-02	5.86		
7940153	0.9999946	2.02e-02	5.86	FAM111A	family with sequence similarity 111 member A
8072735	0.9999946	2.02e-02	5.86	APOL1	apolipoprotein L1
7894332	0.9999946	2.04e-02	5.84		
7981978	0.9999946	2.05e-02	5.83	SNORD116-15	small nucleolar RNA, C/D box 116-15
7902400	0.9999946	2.06e-02	5.82	SNORD45B	small nucleolar RNA, C/D box 45B
8132707	0.9999946	2.06e-02	5.82	LINC00525	long intergenic non-protein coding RNA 525
8021363	0.9999946	2.06e-02	5.82		
7894628	0.9999946	2.06e-02	5.82		
7895213	0.9999946	2.07e-02	5.80		
7959777	0.9999946	2.12e-02	5.76	BRI3BP	BRI3 binding protein
8120247	0.9999946	2.12e-02	5.76	LOC100287869	uncharacterized LOC100287869
8035808	0.9999946	2.13e-02	5.75	ZNF100	zinc finger protein 100
8070789	0.9999946	2.15e-02	5.73	KRTAP12-4	keratin associated protein 12-4
7912511	0.9999946	2.20e-02	5.68	KIAA2013	KIAA2013
7895312	0.9999946	2.20e-02	5.68		
8144951	0.9999946	2.20e-02	5.68		
8084732	0.9999946	2.21e-02	5.67	RTP4	receptor transporter protein 4
7922474	0.9999946	2.22e-02	5.66	KIAA0040	KIAA0040
7914603	0.9999946	2.22e-02	5.66	RNF19B	ring finger protein 19B
8165663	0.9999946	2.25e-02	5.64		
8034342	0.9999946	2.25e-02	5.64	ZNF625-ZNF20	ZNF625-ZNF20 readthrough (NMD candidate)
8016245	0.9999946	2.27e-02	5.61	LRRC37A2///LRRC37A6P///LRRC37A3///LRRC37A4P///LRRC37A	leucine rich repeat containing 37 member A2///leucine rich repeat containing 37 member A6, pseudogene///leucine rich repeat containing 37 member A3///leucine rich repeat containing 37 member A4, pseudogene///leucine rich repeat containing 37A
8072153	0.9999946	2.28e-02	5.61	CCDC117	coiled-coil domain containing 117
7904166	0.9999946	2.29e-02	5.59		
8147742	0.9999946	2.32e-02	5.57		
7896714	0.9999946	2.32e-02	5.57		
7892696	0.9999946	2.32e-02	5.57		
8168470	0.9999946	2.33e-02	5.56	COX7B	cytochrome c oxidase subunit 7B
8107673	0.9999946	2.35e-02	5.54	GRAMD3	GRAM domain containing 3
8073680	0.9999946	2.36e-02	5.54		
8068713	0.9999946	2.38e-02	5.51	MX1	MX dynamin like GTPase 1
7917591	0.9999946	2.39e-02	5.50		
7896418	0.9999946	2.43e-02	5.47		
7910948	0.9999946	2.46e-02	5.45		
7893617	0.9999946	2.47e-02	5.44		
8065566	0.9999946	2.47e-02	5.44	DEFB124	defensin beta 124
7939954	0.9999946	2.48e-02	5.43	TRIM51	tripartite motif-containing 51
8109486	0.9999946	2.49e-02	5.42		
7896369	0.9999946	2.51e-02	5.41		
7894117	0.9999946	2.51e-02	5.40		
8011328	0.9999946	2.52e-02	5.40		
7894543	0.9999946	2.53e-02	5.39		
8057742	0.9999946	2.53e-02	5.39		
8102160	0.9999946	2.55e-02	5.38		
7896724	0.9999946	2.56e-02	5.37		
8034698	0.9999946	2.56e-02	5.36	MIR23A	microRNA 23a
7895812	0.9999946	2.57e-02	5.36		
7893001	0.9999946	2.57e-02	5.36		
8043036	0.9999946	2.57e-02	5.35	LOC1720///DHFR	dihydrofolate reductase pseudogene///dihydrofolate reductase
7894979	0.9999946	2.60e-02	5.34		
7975457	0.9999946	2.60e-02	5.34		
7942793	0.9999946	2.61e-02	5.33	THRSP	thyroid hormone responsive
8032588	0.9999946	2.61e-02	5.33	SMIM24	small integral membrane protein 24
8054722	0.9999946	2.62e-02	5.32	IL1B	interleukin 1 beta
7894597	0.9999946	2.64e-02	5.30		
7945521	0.9999946	2.66e-02	5.28	PDDC1	Parkinson disease 7 domain containing 1
7896580	0.9999946	2.67e-02	5.28		
7892736	0.9999946	2.67e-02	5.28		
7892525	0.9999946	2.67e-02	5.28		
7895818	0.9999946	2.69e-02	5.26		
7895601	0.9999946	2.69e-02	5.26		
8116622	0.9999946	2.70e-02	5.26	RIPK1	receptor interacting serine/threonine kinase 1
8170863	0.9999946	2.71e-02	5.25	SNORA70///RPL10	small nucleolar RNA, H/ACA box 70///ribosomal protein L10
7893819	0.9999946	2.72e-02	5.24		
7895154	0.9999946	2.73e-02	5.23		
7933877	0.9999946	2.73e-02	5.23	JMJD1C	jumonji domain containing 1C
8107353	0.9999946	2.74e-02	5.23	ZRSR1///SRP19	zinc finger CCCH-type, RNA binding motif and serine/arginine rich 1///signal recognition particle 19
8016739	0.9999946	2.75e-02	5.22	TOB1	transducer of ERBB2, 1
8006531	0.9999946	2.76e-02	5.21	SLFN5	schlafen family member 5
8029744	0.9999946	2.76e-02	5.21	QPCTL	glutaminyl-peptide cyclotransferase like
8152215	0.9999946	2.76e-02	5.21	KLF10	Kruppel like factor 10
7893552	0.9999946	2.77e-02	5.20		
8174983	0.9999946	2.77e-02	5.20		
7895948	0.9999946	2.77e-02	5.20		
7894981	0.9999946	2.78e-02	5.19		
7896081	0.9999946	2.79e-02	5.19		
8117720	0.9999946	2.80e-02	5.19		
7974229	0.9999946	2.80e-02	5.18	KLHDC2	kelch domain containing 2
8058342	0.9999946	2.81e-02	5.17		
8110668	0.9999946	2.82e-02	5.17		
7896449	0.9999946	2.84e-02	5.15		
8000779	0.9999946	2.86e-02	5.14	TBX6	T-box 6
8047372	0.9999946	2.86e-02	5.14	NDUFB3	NADH:ubiquinone oxidoreductase subunit B3
7895603	0.9999946	2.86e-02	5.14		
7894722	0.9999946	2.88e-02	5.13		
8112274	0.9999946	2.88e-02	5.13	ELOVL7	ELOVL fatty acid elongase 7
8040290	0.9999946	2.89e-02	5.12		
8093858	0.9999946	2.90e-02	5.11	STK32B	serine/threonine kinase 32B
7896708	0.9999946	2.92e-02	5.10		
7895513	0.9999946	2.93e-02	5.09		
8149281	0.9999946	2.93e-02	5.09		
8000567	0.9999946	2.94e-02	5.09	IL27	interleukin 27
8061247	0.9999946	2.94e-02	5.09	RIN2	Ras and Rab interactor 2
7992841	0.9999946	2.95e-02	5.08		
7937798	0.9999946	2.95e-02	5.08		
8106271	0.9999946	2.97e-02	5.07	NSA2	NSA2, ribosome biogenesis homolog
7896223	0.9999946	2.97e-02	5.06		
8006423	0.9999946	2.98e-02	5.06	SPACA3	sperm acrosome associated 3
8091188	0.9999946	2.98e-02	5.06		
8004184	0.9999946	2.98e-02	5.06	XAF1	XIAP associated factor 1
8155547	0.9999946	2.99e-02	5.05	LOC105379526///PTGER4P2-CDK2AP2P2	uncharacterized LOC105379526///PTGER4P2-CDK2AP2P2 readthrough, transcribed pseudogene
8025498	0.9999946	2.99e-02	5.05	SNORA70///RPL10	small nucleolar RNA, H/ACA box 70///ribosomal protein L10
7895257	0.9999946	3.01e-02	5.04		
7896429	0.9999946	3.02e-02	5.03		
8150101	0.9999946	3.03e-02	5.03		
8102362	0.9999946	3.04e-02	5.02	TIFA	TRAF interacting protein with forkhead associated domain
7892567	0.9999946	3.05e-02	5.01		
7893052	0.9999946	3.05e-02	5.01		
8027437	0.9999946	3.05e-02	5.01		
7893959	0.9999946	3.07e-02	5.00		
8007867	0.9999946	3.08e-02	4.99	LRRC37A2///LRRC37A6P///LRRC37A3///LRRC37A4P///LRRC37A///LRRC37A2	leucine rich repeat containing 37 member A2///leucine rich repeat containing 37 member A6, pseudogene///leucine rich repeat containing 37 member A3///leucine rich repeat containing 37 member A4, pseudogene///leucine rich repeat containing 37A///leucine rich repeat containing 37 member A2
8081465	0.9999946	3.08e-02	4.99	BBX	BBX, HMG-box containing
8127544	0.9999946	3.10e-02	4.98		
7894940	0.9999946	3.10e-02	4.98		
7896052	0.9999946	3.10e-02	4.98		
8050423	0.9999946	3.12e-02	4.97	MYCNOS	MYCN opposite strand
8047403	0.9999946	3.12e-02	4.97	CASP10	caspase 10
8154211	0.9999946	3.14e-02	4.95		
7894398	0.9999946	3.15e-02	4.95		
8037001	0.9999946	3.16e-02	4.94		
8099685	0.9999946	3.17e-02	4.93	LGI2	leucine rich repeat LGI family member 2
7892903	0.9999946	3.18e-02	4.93		
8067864	0.9999946	3.18e-02	4.93	ANKRD20A8P///ANKRD20A4///ANKRD20A2///ANKRD20A3///ANKRD20A5P///ANKRD20A1	ankyrin repeat domain 20 family member A8, pseudogene///ankyrin repeat domain 20 family member A4///ankyrin repeat domain 20 family member A2///ankyrin repeat domain 20 family member A3///ankyrin repeat domain 20 family member A5, pseudogene///ankyrin repeat domain 20 family member A1
7972977	0.9999946	3.18e-02	4.93		
